,price
1,1
2,1.005241165
3,1.022550093
4,1.007662554
5,1.011878049
6,1.012593984
7,1.024467865
8,1.023192676
9,1.022343874
10,1.015163162
11,1.019223655
12,1.029356964
13,1.026680752
14,1.025834573
15,1.020074317
16,1.019992537
17,1.01851526
18,1.024977509
19,1.027358697
20,1.033088457
21,1.024500764
22,1.010792767
23,1.011966619
24,1.020726994
25,1.011861505
26,1.002206424
27,1.005112264
28,1.005151292
29,1.006020893
30,1.000463119
31,1.00096576
32,1.003838817
33,0.997824506
34,1.004012237
35,0.99693254
36,1.001533913
37,1.005628666
38,1.009632627
39,1.014094547
40,1.003342516
41,0.995276189
42,1.001719299
43,1.007788228
44,1.006382476
45,1.015043052
46,1.008652426
47,0.982747089
48,0.987857075
49,0.991484726
50,1.013689994
51,1.024246586
52,1.039214483
53,1.074090347
54,1.071867714
55,1.070590758
56,1.068510722
57,1.068532269
58,1.072430112
59,1.082744336
60,1.079106536
61,1.101925462
62,1.08909936
63,1.0960755
64,1.103800341
65,1.102095782
66,1.089396127
67,1.086047733
68,1.07318126
69,1.063118159
70,1.077042686
71,1.081316778
72,1.075013611
73,1.075766866
74,1.064422644
75,1.050050151
76,1.037483316
77,1.03971164
78,1.04532455
79,1.047882807
80,1.047519975
81,1.042175811
82,1.035997619
83,1.029776668
84,1.029865536
85,1.053212527
86,1.061739849
87,1.059104539
88,1.067755557
89,1.079972722
90,1.087418462
91,1.086696702
92,1.082405989
93,1.070357066
94,1.073040073
95,1.087142872
96,1.088422128
97,1.080441276
98,1.081934915
99,1.095991632
100,1.080236567
101,1.072324146
102,1.068096578
103,1.072609628
104,1.069896006
105,1.079016152
106,1.09133118
107,1.08689379
108,1.084026009
109,1.072846321
110,1.081135077
111,1.090343055
112,1.090546753
113,1.088302657
114,1.10428523
115,1.116943026
116,1.100218398
117,1.09667382
118,1.088618675
119,1.090596948
120,1.09701201
121,1.089141612
122,1.085463255
123,1.096420519
124,1.103908404
125,1.113650366
126,1.125914901
127,1.129082825
128,1.141114881
129,1.131195843
130,1.120423767
131,1.11498315
132,1.112904157
133,1.120494233
134,1.119520285
135,1.109385913
136,1.098455059
137,1.112499899
138,1.109792729
139,1.122639644
140,1.137578268
141,1.126513302
142,1.136180157
143,1.131338241
144,1.128750513
145,1.132964008
146,1.130228868
147,1.114811413
148,1.106161663
149,1.118892574
150,1.107149851
151,1.121709208
152,1.133763971
153,1.153669831
154,1.156245661
155,1.160746085
156,1.150130916
157,1.152542269
158,1.170774559
159,1.18135323
160,1.192523163
161,1.191396953
162,1.210072075
163,1.211164635
164,1.230330506
165,1.221291741
166,1.205664954
167,1.209120173
168,1.206174401
169,1.200687066
170,1.194912869
171,1.197331969
172,1.196386562
173,1.203696466
174,1.19362297
175,1.20377381
176,1.216524066
177,1.220530686
178,1.229888634
179,1.228934937
180,1.227872187
181,1.216583021
182,1.190188341
183,1.191046811
184,1.207691339
185,1.216732555
186,1.21028825
187,1.200307002
188,1.215262791
189,1.227701579
190,1.225405751
191,1.210316502
192,1.197505443
193,1.222925639
194,1.217201001
195,1.211247459
196,1.193878673
197,1.207461847
198,1.211992336
199,1.213692615
200,1.211336299
201,1.20726531
202,1.20023926
203,1.186061043
204,1.186527549
205,1.186763848
206,1.194811592
207,1.197639771
208,1.213548725
209,1.205781166
210,1.209709521
211,1.203634827
212,1.209871477
213,1.202879474
214,1.197092849
215,1.18462448
216,1.17390152
217,1.164943797
218,1.156963434
219,1.149729881
220,1.15073294
221,1.15418589
222,1.160430246
223,1.165362073
224,1.163832375
225,1.161474788
226,1.164143974
227,1.158228204
228,1.147026496
229,1.143991455
230,1.150846571
231,1.152093496
232,1.150736158
233,1.16351587
234,1.172715033
235,1.182415896
236,1.175684346
237,1.183250341
238,1.182261918
239,1.193891867
240,1.201132638
241,1.213059788
242,1.223286398
243,1.207870689
244,1.187907029
245,1.177242359
246,1.18856833
247,1.189712831
248,1.18141538
249,1.174061204
250,1.161221509
251,1.158907803
252,1.148325165
253,1.166646999
254,1.156752969
255,1.154093784
256,1.146441682
257,1.154365614
258,1.147626799
259,1.147775622
260,1.153566782
261,1.158880988
262,1.15347421
263,1.155707929
264,1.152324187
265,1.154767038
266,1.153179091
267,1.146701842
268,1.133948354
269,1.147740333
270,1.146085588
271,1.151437071
272,1.133418887
273,1.136477219
274,1.147811009
275,1.134473975
276,1.134669313
277,1.14078515
278,1.146481857
279,1.143806293
280,1.14920715
281,1.141081456
282,1.161055158
283,1.146707017
284,1.146465132
285,1.147674084
286,1.172791752
287,1.181658452
288,1.193087439
289,1.196335552
290,1.209692636
291,1.21379621
292,1.207051928
293,1.205565579
294,1.197922476
295,1.209936628
296,1.196766532
297,1.198328034
298,1.193276883
299,1.201118174
300,1.207631863
301,1.224111437
302,1.222292553
303,1.210924534
304,1.197576312
305,1.204245218
306,1.203327099
307,1.210866709
308,1.203178233
309,1.201454185
310,1.217621686
311,1.216586923
312,1.214968418
313,1.198857478
314,1.202397025
315,1.190872177
316,1.206426976
317,1.183364737
318,1.154584239
319,1.157042534
320,1.150265041
321,1.151196398
322,1.158274124
323,1.152235684
324,1.147397945
325,1.149024634
326,1.156838824
327,1.137832626
328,1.138757966
329,1.138790895
330,1.146703386
331,1.147249141
332,1.14648877
333,1.140478392
334,1.136636091
335,1.135048434
336,1.139815955
337,1.145249464
338,1.156053488
339,1.148107088
340,1.146178023
341,1.136556356
342,1.133742653
343,1.13147061
344,1.131527715
345,1.109710418
346,1.111818746
347,1.108337903
348,1.100859966
349,1.097780024
350,1.102783004
351,1.102427027
352,1.097508789
353,1.102403704
354,1.092879648
355,1.097703828
356,1.091194909
357,1.100590572
358,1.095985506
359,1.099092357
360,1.102952557
361,1.112844892
362,1.107481191
363,1.115854961
364,1.112811947
365,1.100277142
366,1.100511493
367,1.101739307
368,1.08574566
369,1.081286422
370,1.073029274
371,1.081655376
372,1.086232335
373,1.062349231
374,1.062379354
375,1.049169967
376,1.064828163
377,1.065976209
378,1.059720427
379,1.066049168
380,1.047808618
381,1.052678643
382,1.059840097
383,1.049534164
384,1.052153495
385,1.036945114
386,1.037699219
387,1.021976854
388,1.035796646
