,price
1,1
2,0.997375331
3,1.009087027
4,1.02426273
5,1.018821991
6,1.017575621
7,1.015883092
8,1.023390047
9,1.030641884
10,1.027237463
11,1.01154349
12,1.0193806
13,1.031228523
14,1.024742994
15,1.037887352
16,1.036031048
17,1.040357794
18,1.034442179
19,1.037472418
20,1.036068915
21,1.050787337
22,1.04770303
23,1.035784342
24,1.031029407
25,1.014691576
26,1.031737077
27,1.030385691
28,1.041417539
29,1.028907789
30,1.024021868
31,1.038277829
32,1.036691685
33,1.050585835
34,1.058909881
35,1.060005235
36,1.066748387
37,1.070736636
38,1.055837937
39,1.039283906
40,1.039075739
41,1.030689534
42,1.046854147
43,1.036297998
44,1.039741328
45,1.035046559
46,1.046150463
47,1.052183708
48,1.043974312
49,1.035241405
50,1.040120182
51,1.041440168
52,1.046016602
53,1.049519407
54,1.067294141
55,1.055847006
56,1.045028497
57,1.041504979
58,1.035403605
59,1.034562471
60,1.037870349
61,1.047800254
62,1.060709401
63,1.067175492
64,1.06324888
65,1.06910767
66,1.077264803
67,1.074617333
68,1.071859298
69,1.055639909
70,1.056316824
71,1.064669623
72,1.056551651
73,1.064304914
74,1.068560053
75,1.075196416
76,1.060134059
77,1.076696492
78,1.068723433
79,1.0840821
80,1.094739328
81,1.110704612
82,1.104739032
83,1.121454226
84,1.103536081
85,1.080819699
86,1.073366254
87,1.044098304
88,1.026212732
89,1.028245599
90,1.024604019
91,1.022336114
92,1.012880731
93,1.010932329
94,1.01394132
95,1.002772543
96,0.988043247
97,0.973066346
98,0.969570342
99,0.964459927
100,0.966310102
101,0.96460465
102,0.958450052
103,0.95721014
104,0.950923346
105,0.950947866
106,0.961198301
107,0.966971773
108,0.964709393
109,0.943677206
110,0.941985896
111,0.921753443
112,0.910914277
113,0.920552418
114,0.912144727
115,0.89110768
116,0.895910266
117,0.89067524
118,0.894180736
119,0.900623307
120,0.881439236
121,0.888720508
122,0.904739078
123,0.913880106
124,0.908205115
125,0.891301357
126,0.900106867
127,0.903642581
128,0.902927534
129,0.925395508
130,0.905980164
131,0.895484817
132,0.904605236
133,0.919128503
134,0.931898455
135,0.935355773
136,0.958558762
137,0.958575439
138,0.980345229
139,0.974716829
140,0.966253123
141,0.959046067
142,0.978622922
143,0.978073912
144,0.980402922
145,0.981328436
146,0.980752858
147,0.970350416
148,0.97765204
149,0.979426696
150,0.962634782
151,0.979873439
152,0.989166351
153,0.986770537
154,0.999071579
155,0.995975354
156,0.992777551
157,0.99226
158,0.99835178
159,1.007784231
160,1.010590195
161,1.006049166
162,1.020853345
163,1.038888633
164,1.035421896
165,1.045551117
166,1.048364748
167,1.043991854
168,1.040254302
169,1.02761856
170,1.027649652
171,1.015660958
172,1.003064453
173,1.002300142
174,1.001917956
175,1.000668319
176,1.002959833
177,0.990707597
178,0.979548962
179,0.989746898
180,0.984822771
181,0.988900682
182,0.980750558
183,0.99574661
184,0.988725411
185,0.984244024
186,0.967183096
187,0.9718126
188,0.967236743
189,0.96497804
190,0.968141926
191,0.967318059
192,0.962556249
193,0.973905042
194,0.971823426
195,0.968798426
196,0.964051138
197,0.964833331
198,0.953530355
199,0.951680658
200,0.956784556
201,0.962504644
202,0.952422431
203,0.964366196
204,0.967926169
205,0.968874344
206,0.972155283
207,0.990826563
208,0.995558251
209,0.988404
210,0.978257851
211,0.986600791
212,1.001584054
213,0.993647553
214,0.986307885
215,0.985383668
216,0.991769325
217,0.994081912
218,0.995632033
219,1.000447172
220,1.005552556
221,1.00680865
222,1.008324623
223,1.010553389
224,0.998059412
225,1.006153962
226,1.002820094
227,1.025905093
228,1.025280945
229,1.020775313
230,1.021026641
231,1.008298188
232,1.011766019
233,1.011869106
234,1.007130798
235,1.02228053
236,1.038610495
237,1.059570303
238,1.074471259
239,1.075065177
240,1.061504771
241,1.061905256
242,1.053375562
243,1.05461512
244,1.069805848
245,1.093043645
246,1.09285685
247,1.08802708
248,1.092304986
249,1.092939882
250,1.11624361
251,1.118844302
252,1.119200271
253,1.147363816
254,1.148857178
255,1.145743531
256,1.140806732
257,1.126681868
258,1.122260779
259,1.119892708
260,1.104089763
261,1.100416635
262,1.097996975
263,1.096310372
264,1.089981055
265,1.086233699
266,1.077969807
267,1.075376954
268,1.074228955
269,1.077299923
270,1.067481317
271,1.060120209
272,1.073308344
273,1.044442639
274,1.065694703
275,1.059031252
276,1.060407979
277,1.066788576
278,1.054705373
279,1.062022366
280,1.058449256
281,1.061506166
282,1.052920596
283,1.038065894
284,1.030995635
285,1.022341821
286,1.034500756
287,1.041741435
288,1.032327604
289,1.048323396
290,1.054397516
291,1.05044878
292,1.055411481
293,1.058717901
294,1.053936641
295,1.050138383
296,1.043027469
297,1.035514229
298,1.045631365
299,1.055218
300,1.059452131
301,1.040849774
302,1.037388652
303,1.042946543
304,1.03374409
305,1.029675233
306,1.029286351
307,1.041300902
308,1.040507516
309,1.049148172
310,1.043193524
311,1.055620705
312,1.056329937
313,1.050582874
314,1.03049869
315,1.040019182
316,1.030910847
317,1.040030753
318,1.023613519
319,1.024253022
320,1.025499833
321,1.01847046
322,1.001747228
323,1.019595534
324,1.027297456
325,1.02094035
326,1.014106781
327,1.018050956
328,1.027777235
329,1.027354135
330,1.017101142
331,1.017958883
332,1.031576046
333,1.038807138
334,1.04386854
335,1.047863222
336,1.043079816
337,1.040984746
338,1.043602876
339,1.021015709
340,1.031994831
341,1.039554128
342,1.043628399
343,1.044264791
344,1.051405728
345,1.049512709
346,1.063890808
347,1.063449516
348,1.083913806
349,1.08249293
350,1.07510238
351,1.076055939
352,1.075871326
353,1.066225187
354,1.07136591
355,1.060066242
356,1.060246185
357,1.044961065
358,1.046085994
359,1.044281928
360,1.033883237
361,1.025049367
362,1.012018846
363,1.013913797
364,1.027069302
365,1.044995823
366,1.056093156
367,1.058030612
368,1.05230819
369,1.048399368
370,1.058606263
371,1.057577872
372,1.056067761
373,1.070483583
374,1.079858743
375,1.058177506
376,1.047184859
377,1.045485794
378,1.034314264
379,1.03598354
380,1.026958905
381,1.03221371
382,1.043849858
383,1.032175757
384,1.019995529
385,1.012396096
386,0.995901672
387,1.001771433
388,1.002508892
389,0.992680711
390,0.99142017
391,0.992402802
392,0.978736828
393,0.973658177
394,0.955791335
395,0.942477503
396,0.953854859
397,0.953714584
398,0.949932462
399,0.942391975
400,0.937623221
401,0.921789944
402,0.912565141
403,0.906971715
404,0.900228929
405,0.902910881
406,0.903915261
407,0.893996066
408,0.889148692
409,0.870925673
410,0.884076999
411,0.882184555
412,0.893174906
413,0.908029259
414,0.90805361
415,0.89773041
416,0.888469907
417,0.885725916
418,0.863691705
419,0.861859307
420,0.872183985
421,0.887226102
422,0.875255778
423,0.876512949
424,0.867283408
425,0.881097017
426,0.890109291
427,0.902516932
428,0.898405345
429,0.912258177
430,0.922459458
431,0.927179798
432,0.928842466
433,0.944912723
434,0.962842095
435,0.952847579
436,0.945339185
437,0.950938722
438,0.969348165
439,0.968519479
440,0.967274553
441,0.969132904
442,0.96537409
443,0.958509875
444,0.957642035
445,0.951744395
446,0.945343616
447,0.946710554
448,0.950374822
449,0.95024231
450,0.951691259
451,0.952799955
452,0.949605944
453,0.945951053
454,0.934605857
455,0.94213509
456,0.946146134
457,0.942867613
458,0.959461187
459,0.974330833
460,0.963226285
461,0.944969943
462,0.946138587
463,0.941971621
464,0.947398333
465,0.929811545
466,0.945360152
467,0.945174203
468,0.933518662
469,0.949082665
470,0.967289242
471,0.968386861
472,0.96143119
473,0.976714818
474,0.97929757
475,0.979830423
476,0.994078212
477,0.99501029
478,0.977296415
479,0.944249392
480,0.92540899
481,0.93085337
482,0.938892224
483,0.924850254
484,0.935618237
485,0.940160489
486,0.925491298
487,0.925423016
488,0.930596171
489,0.93578405
490,0.950202134
491,0.939509858
492,0.942809225
493,0.932003058
494,0.931382725
495,0.947986302
496,0.956979938
497,0.947065508
498,0.948841783
499,0.956169176
500,0.97197918
501,0.960246701
502,0.979343105
503,0.98459715
504,0.986542276
505,0.98643235
506,0.980636779
507,0.991471339
508,0.983752185
509,0.974716138
510,0.971088759
511,0.944013536
512,0.941268013
513,0.919852327
514,0.907932036
515,0.902962497
516,0.887659872
517,0.89355216
518,0.882502934
519,0.872056319
520,0.878303506
521,0.886692767
522,0.891381179
523,0.895870719
524,0.907686206
525,0.917407987
526,0.908597005
527,0.896497129
528,0.885973835
529,0.875235996
530,0.869453385
531,0.853710518
532,0.853252389
533,0.857026924
534,0.852088087
535,0.862154193
536,0.863957511
537,0.848695196
538,0.857715749
539,0.869565246
540,0.867316925
541,0.858505657
542,0.86815606
543,0.884391928
544,0.896019396
545,0.893901752
546,0.906659747
547,0.908383899
548,0.901572829
549,0.897670258
550,0.902964736
551,0.912355201
552,0.923610546
553,0.921560528
554,0.917682067
555,0.934458014
556,0.932302094
557,0.939439327
558,0.930609498
559,0.938284175
560,0.9136977
561,0.918375407
562,0.923220021
563,0.917875402
564,0.916350525
565,0.912276583
566,0.910282393
567,0.914650269
568,0.914105565
569,0.915632928
570,0.919657988
571,0.903066476
572,0.902223182
573,0.909415596
574,0.922356643
575,0.917579622
576,0.916485376
577,0.904875292
578,0.901270671
579,0.897148726
580,0.901814741
581,0.899922955
582,0.888424684
583,0.885561716
584,0.877135992
585,0.881013472
586,0.869543677
587,0.853259307
588,0.863045702
589,0.853358081
590,0.84855212
591,0.846924387
592,0.825319234
593,0.821136924
594,0.826508384
595,0.834742093
596,0.830908608
597,0.834956928
598,0.833063465
599,0.831477131
600,0.816624714
601,0.83080984
602,0.828844516
603,0.816211244
604,0.833714969
605,0.821997311
606,0.812989441
607,0.809837781
608,0.805072766
609,0.802288651
610,0.800623425
611,0.813262577
612,0.791897477
613,0.819523711
614,0.822795244
615,0.824637115
616,0.827709909
617,0.833455765
618,0.833834537
619,0.831559911
620,0.834683179
621,0.846602938
622,0.84315061
623,0.853236192
624,0.859290202
625,0.85966563
626,0.864035901
627,0.858582349
628,0.858742111
629,0.8605975
630,0.860244805
631,0.861465494
632,0.854084507
633,0.846857127
634,0.848393294
635,0.845630847
636,0.845631044
637,0.835023401
638,0.851990842
639,0.852919134
640,0.861383592
641,0.846962528
642,0.85184849
643,0.86748578
644,0.887406411
645,0.882979573
646,0.875827456
647,0.865924675
648,0.87175729
649,0.861396905
650,0.861472192
651,0.866054831
652,0.876660127
653,0.871628467
654,0.867684755
655,0.883411868
656,0.890041711
657,0.877017545
658,0.873305208
659,0.856507524
660,0.850406086
661,0.858093248
662,0.86459558
663,0.867273664
664,0.877563148
665,0.87597426
666,0.880748092
667,0.877322905
668,0.877583897
669,0.876427959
670,0.875843339
671,0.870827992
672,0.871209516
673,0.869353637
674,0.881305951
675,0.876566256
676,0.876304203
677,0.87756942
678,0.881389921
679,0.891681432
680,0.899725607
681,0.915009795
682,0.924029207
683,0.920354396
684,0.895114507
685,0.888509317
686,0.892279992
687,0.893833368
688,0.890759922
689,0.904255611
690,0.905549833
691,0.906851073
692,0.912569558
693,0.913833154
694,0.91751737
695,0.903279965
696,0.917952137
697,0.914614255
698,0.925215362
699,0.928399534
700,0.928682706
701,0.923009487
702,0.932124706
703,0.924223117
704,0.910422806
705,0.918415649
706,0.923827029
707,0.914010116
708,0.928249055
709,0.910258009
710,0.91212106
711,0.911671931
712,0.908868085
713,0.90050864
714,0.9174515
715,0.91128476
716,0.923977145
717,0.931477059
718,0.931158954
719,0.940315246
720,0.948756817
721,0.955561261
722,0.968223996
723,0.964153156
724,0.953150147
725,0.965789436
726,0.956386812
727,0.959220791
728,0.980295992
729,0.97237498
730,0.987949282
731,0.984107613
732,0.983217557
733,0.991654243
734,0.999428345
735,1.006671593
736,0.999718584
737,0.986736936
738,0.982660667
739,1.01615653
740,1.025987677
741,1.033376815
742,1.031396893
743,1.034949806
744,1.031353906
745,1.043351595
746,1.049579282
747,1.044552843
748,1.044136506
749,1.031244439
750,1.044472931
751,1.054349721
752,1.061619729
753,1.064329673
754,1.084182675
755,1.090825907
756,1.083019644
757,1.078286307
758,1.078136836
759,1.068934685
760,1.066947537
761,1.060712293
762,1.06593925
763,1.080738846
764,1.085890598
765,1.071759633
766,1.078373813
767,1.093326155
768,1.099047029
769,1.0954135
770,1.101847414
771,1.110492673
772,1.107863177
773,1.110026278
774,1.124694978
775,1.130104927
776,1.147940115
777,1.152364889
778,1.157308608
779,1.166496712
780,1.141760594
781,1.133352831
782,1.143420107
783,1.141849765
784,1.115998315
785,1.101194367
786,1.108781671
787,1.117000703
788,1.107528585
789,1.133393472
790,1.113666457
791,1.11467447
792,1.125256664
793,1.140627581
794,1.143024845
795,1.150826158
796,1.148314801
797,1.151872656
798,1.160752611
799,1.148093223
800,1.170635469
801,1.181323469
802,1.187313803
803,1.205049843
804,1.196292188
805,1.20348048
806,1.211476652
807,1.218427765
808,1.19646668
809,1.213306518
810,1.206957783
811,1.190541793
812,1.192870912
813,1.196571958
814,1.202073243
815,1.200022052
816,1.177203964
817,1.174585661
818,1.194503585
819,1.194135591
820,1.193145023
821,1.197952238
822,1.212451375
823,1.209479852
824,1.19849115
825,1.19659035
826,1.216423907
827,1.227396228
828,1.241511329
829,1.244802635
830,1.223678708
831,1.22833747
832,1.226866504
833,1.239146419
834,1.235125756
835,1.239991474
836,1.244282197
837,1.236200211
838,1.233924393
839,1.240362839
840,1.23864478
841,1.252009195
842,1.260627261
843,1.251032684
844,1.251842221
845,1.248681232
846,1.244342856
847,1.234395529
848,1.245487627
849,1.239073552
850,1.233209389
851,1.236168328
852,1.250435484
853,1.260653785
854,1.22703944
855,1.211761268
856,1.200847835
857,1.174327307
858,1.173493353
859,1.176633603
860,1.168612674
861,1.170256487
862,1.172056119
863,1.153448598
864,1.16068746
865,1.154435776
866,1.155813798
867,1.152108096
868,1.160465637
869,1.164930484
870,1.157685634
871,1.152971107
872,1.156062748
873,1.170457656
874,1.149050455
875,1.16450091
876,1.147569576
877,1.159018551
878,1.164637591
879,1.170097033
880,1.169986277
881,1.160089464
882,1.168409759
883,1.169528646
884,1.168316425
885,1.183147674
886,1.176944645
887,1.179026244
888,1.177085135
889,1.191897681
890,1.1862216
891,1.190682433
892,1.202506153
893,1.186277051
894,1.184718826
895,1.205905197
896,1.203049486
897,1.195946723
898,1.189184241
899,1.177696268
900,1.175455352
901,1.185055022
902,1.174037378
903,1.172550431
904,1.176669546
905,1.184902241
906,1.213500872
907,1.207182263
908,1.192913135
909,1.215622687
910,1.202520335
911,1.210046792
912,1.220952205
913,1.228844678
914,1.22289598
915,1.236944738
916,1.231425149
917,1.225886922
918,1.21556645
919,1.21961752
920,1.219474742
921,1.234526816
922,1.255091162
923,1.264921539
924,1.247385262
925,1.257497905
926,1.249991697
927,1.264328617
928,1.270637892
929,1.295571509
930,1.295318314
931,1.279837046
932,1.292102681
933,1.30114425
934,1.301673577
935,1.292962155
936,1.295697143
937,1.300034347
938,1.295755819
939,1.300507825
940,1.315333637
941,1.32418892
942,1.348981626
943,1.364089545
944,1.348941452
945,1.344420696
946,1.343111774
947,1.35041832
948,1.349814008
949,1.363752134
950,1.368112587
951,1.368187847
952,1.365890427
953,1.3743855
954,1.369277509
955,1.362639594
956,1.372345178
957,1.372650075
958,1.368856962
959,1.370270249
960,1.385318168
961,1.384406655
962,1.381206844
963,1.371047437
964,1.368776192
965,1.36903822
966,1.387698861
967,1.377817162
968,1.390559874
969,1.398115122
970,1.402191427
971,1.381093727
972,1.388166768
973,1.383926329
974,1.374112669
975,1.377934917
976,1.383823892
977,1.369723292
978,1.377996676
979,1.384945872
980,1.380585044
981,1.377039321
982,1.364812368
983,1.356204671
984,1.360774504
985,1.376756694
986,1.380635468
987,1.370309822
988,1.382215539
989,1.389996763
990,1.399746232
991,1.406703944
992,1.413187608
993,1.400717227
994,1.401486376
995,1.419378658
996,1.419188479
997,1.405585642
998,1.387213328
999,1.399856151
1000,1.392009292
1001,1.397216779
1002,1.41257839
1003,1.407412121
1004,1.401825873
1005,1.405487148
1006,1.407488213
1007,1.413023484
1008,1.407905785
1009,1.415857696
1010,1.406414691
1011,1.4105497
1012,1.417496817
1013,1.415729052
1014,1.400886266
1015,1.396877877
1016,1.385150979
1017,1.396258509
1018,1.380263366
1019,1.380603821
1020,1.382367747
1021,1.397042214
1022,1.394265199
1023,1.399401088
1024,1.407666857
1025,1.3971598
1026,1.395824227
1027,1.385703928
1028,1.386759618
1029,1.393979128
1030,1.403932581
1031,1.40728922
1032,1.418190676
1033,1.413350606
1034,1.401640593
1035,1.406265075
1036,1.403782258
1037,1.419380118
1038,1.420656871
1039,1.419474893
1040,1.410634568
1041,1.412071493
1042,1.418734633
1043,1.424833626
1044,1.442874205
1045,1.454211589
1046,1.44660137
1047,1.451932225
1048,1.433593265
1049,1.442660509
1050,1.455125892
1051,1.438742694
1052,1.443135412
1053,1.462960048
1054,1.463339555
1055,1.458806432
1056,1.449270205
1057,1.450784558
1058,1.451069253
1059,1.425599224
1060,1.421110207
1061,1.417609331
1062,1.419249723
1063,1.439183903
1064,1.449316681
1065,1.458047802
1066,1.46536159
1067,1.452742333
1068,1.459425316
1069,1.458221302
1070,1.463590092
1071,1.450329475
1072,1.458068406
1073,1.460260121
1074,1.445142032
1075,1.455626565
1076,1.449783351
1077,1.4548842
1078,1.465629549
1079,1.470046125
1080,1.46457401
1081,1.454390832
1082,1.455796407
1083,1.465958334
1084,1.462124551
1085,1.453526247
1086,1.462310741
1087,1.444526515
1088,1.432609405
1089,1.43282434
1090,1.418416898
1091,1.42949509
1092,1.441609981
1093,1.438079582
1094,1.433311692
1095,1.427880772
1096,1.437426571
1097,1.453655866
1098,1.449040071
1099,1.460925527
1100,1.461315774
1101,1.468260995
1102,1.461764493
1103,1.451549686
1104,1.459706049
1105,1.447495765
1106,1.441578604
1107,1.436336579
1108,1.44487342
1109,1.448422306
1110,1.456390169
1111,1.46471758
1112,1.458969876
1113,1.453067044
1114,1.4403183
1115,1.453894199
1116,1.461472588
1117,1.459676713
1118,1.466809688
1119,1.463889759
1120,1.465312868
1121,1.47194886
1122,1.477877773
1123,1.49413304
1124,1.491965416
1125,1.496379361
1126,1.493699679
1127,1.493797875
1128,1.496541296
1129,1.50416807
1130,1.494369058
1131,1.477779295
1132,1.480486076
1133,1.477004845
1134,1.485845121
1135,1.488143936
1136,1.484100218
1137,1.497954643
1138,1.506727932
1139,1.511371125
1140,1.517625984
1141,1.518319782
1142,1.500405493
1143,1.496421887
1144,1.479467151
1145,1.465232481
1146,1.460958148
1147,1.460198956
1148,1.471046213
1149,1.468143649
1150,1.479298781
1151,1.471916674
1152,1.483489698
1153,1.487208103
1154,1.493068938
1155,1.499441985
1156,1.503688968
1157,1.4920558
1158,1.497316587
1159,1.497015476
1160,1.47403853
1161,1.466949744
1162,1.485114337
1163,1.475759647
1164,1.46814632
1165,1.47080157
1166,1.484595351
1167,1.466541209
1168,1.464864535
1169,1.463786266
1170,1.475458803
1171,1.485372236
1172,1.484297769
1173,1.499779363
1174,1.509690203
1175,1.519500423
1176,1.519477099
1177,1.515056526
1178,1.517376022
1179,1.515628314
1180,1.512994521
1181,1.51186418
1182,1.529803943
1183,1.527027016
1184,1.511329384
1185,1.495271564
1186,1.480514721
1187,1.459470989
1188,1.450552656
1189,1.426457901
1190,1.421133367
1191,1.432325976
1192,1.438916725
1193,1.443440114
1194,1.440654078
1195,1.434045825
1196,1.416931602
1197,1.405328295
1198,1.403777548
1199,1.407135532
1200,1.411895667
1201,1.415610608
1202,1.404441434
1203,1.396336958
1204,1.394321279
1205,1.396607819
1206,1.382382632
1207,1.391083729
1208,1.391692429
1209,1.397050619
1210,1.40501396
1211,1.401966159
1212,1.403463272
1213,1.399323082
1214,1.399474376
1215,1.41601376
1216,1.437848292
1217,1.416586716
1218,1.415901024
1219,1.430056625
1220,1.428171655
1221,1.415759587
1222,1.401538172
1223,1.406291707
1224,1.410469686
1225,1.401140798
1226,1.412106765
1227,1.393935543
1228,1.393766635
1229,1.40256242
1230,1.414099291
1231,1.40553565
1232,1.413160961
1233,1.398246067
