,price
1,1
2,0.994077573
3,0.999445489
4,0.989565517
5,0.978766031
6,0.977958354
7,0.991987161
8,1.015368326
9,1.011009696
10,1.0071877
11,0.996525652
12,1.001731619
13,0.991386019
14,0.992862547
15,0.991549291
16,1.011324091
17,1.017786261
18,1.017847674
19,1.017925573
20,1.019501212
21,1.003503636
22,1.002341655
23,0.998930001
24,0.996636791
25,1.001811083
26,1.000635136
27,0.997463471
28,0.995120211
29,0.983535362
30,0.983542021
31,0.969954967
32,0.984317544
33,0.98346119
34,0.998348284
35,0.98719529
36,0.964293874
37,0.953293649
38,0.923984077
39,0.934341248
40,0.939835397
41,0.945932605
42,0.968678942
43,0.963489854
44,0.974504697
45,0.961594841
46,0.965054989
47,0.959991607
48,0.97789214
49,0.96775228
50,0.967967886
51,0.955684086
52,0.96399763
53,0.968102126
54,0.960374512
55,0.963391946
56,0.961630333
57,0.947287269
58,0.949330214
59,0.940364791
60,0.939616194
61,0.946547973
62,0.919740608
63,0.90911719
64,0.922922395
65,0.925194529
66,0.937668734
67,0.933267998
68,0.929585491
69,0.944823797
70,0.928828368
71,0.930428018
72,0.916225313
73,0.923802319
74,0.935562748
75,0.937165659
76,0.931175117
77,0.929638566
78,0.92338924
79,0.918798044
80,0.92684147
81,0.931371614
82,0.914361311
83,0.911058536
84,0.906241371
85,0.916146229
86,0.924108884
87,0.928277863
88,0.927378873
89,0.926677571
90,0.927658677
91,0.935629868
92,0.949373579
93,0.960350808
94,0.972553529
95,0.98304971
96,0.996711978
97,0.994128793
98,0.987609022
99,1.005281774
100,1.000010748
101,0.999882349
102,0.995004158
103,1.002154019
104,0.996320014
105,0.991214996
106,0.975962339
107,0.974783967
108,0.97880663
109,0.976288696
110,0.97629521
111,0.972289734
112,0.965683599
113,0.977842785
114,0.991339366
115,1.00345674
116,0.989189915
117,0.9911361
118,0.978967018
119,0.965012858
120,0.974369193
121,0.960474815
122,0.950111156
123,0.961651138
124,0.970478065
125,0.976549125
126,0.963236445
127,0.967839735
128,0.957218279
129,0.957556844
130,0.966738073
131,0.956069759
132,0.951687644
133,0.960092099
134,0.972820589
135,0.973175059
136,0.967541274
137,0.9557746
138,0.952892213
139,0.953011733
140,0.952538417
141,0.963209081
142,0.963874048
143,0.970563233
144,0.96564035
145,0.967322544
146,0.950933599
147,0.948401298
148,0.947806469
149,0.938140792
150,0.945590714
151,0.946846501
152,0.938223879
153,0.951826308
154,0.962484265
155,0.979021864
156,0.992979046
157,1.004220618
158,1.008354186
159,1.010239914
160,1.00361526
161,1.002922011
162,1.008749383
163,1.021632146
164,1.00288606
165,1.018787027
166,1.02285142
167,1.036643264
168,1.05504253
169,1.052882464
170,1.054409377
171,1.058251387
172,1.057095233
173,1.038014715
174,1.030078542
175,1.029760773
176,1.033098372
177,1.034871191
178,1.028886797
179,1.022088413
180,1.033362661
181,1.021735895
182,1.027674317
183,1.010105499
184,0.994802879
185,0.982341934
186,0.970948995
187,0.965829226
188,0.965146569
189,0.967849705
190,0.976707555
191,0.968570093
192,0.96911234
193,0.946651928
194,0.941276538
195,0.948200077
196,0.942834585
197,0.953544306
198,0.971396658
199,0.986953044
200,0.98223822
201,0.999548517
202,1.007244922
203,1.012884686
204,1.004104544
205,1.014844483
206,1.032199247
207,1.02223201
208,1.03534643
209,1.036364066
210,1.038913266
211,1.026814331
212,1.017519656
213,1.002695051
214,0.99071446
215,0.995966634
216,0.977448864
217,0.966895124
218,0.967685657
219,0.981084181
220,0.971317211
221,0.971822986
222,0.974944862
223,0.982824349
224,0.998357891
225,1.011406814
226,0.985001204
227,0.97514683
228,0.979863243
229,0.980173205
230,0.962416642
231,0.954681228
232,0.939829317
233,0.938803664
234,0.95351917
235,0.953392438
236,0.957588402
237,0.954788155
238,0.956337858
239,0.965648645
240,0.960482948
241,0.968877528
242,0.960048089
243,0.96346368
244,0.974878977
245,0.979587112
246,0.989025129
247,0.993991003
248,0.997317429
249,0.998091128
250,1.014658521
251,1.022312257
252,1.030744224
253,1.02823093
254,1.033700896
255,1.024561779
256,1.018270607
257,1.012396056
