,price
1,1
2,1.004701667
3,1.001450235
4,0.9808732
5,0.974626768
6,0.976764347
7,0.976664257
8,0.957409565
9,0.965522655
10,0.972645574
11,0.966451548
12,0.959722786
13,0.957845909
14,0.949371436
15,0.971535914
16,0.97086485
17,0.975084774
18,0.978280058
19,0.986765414
20,0.980260097
21,0.974368111
22,0.956601606
23,0.956873785
24,0.946412893
25,0.960516717
26,0.965502968
27,0.969939719
28,0.964263834
29,0.979207321
30,0.993935937
31,1.003426812
32,1.00244013
33,0.989622668
34,0.985236784
35,0.969636408
36,0.984814617
37,0.987125205
38,0.988165366
39,0.98329161
40,0.984001643
41,0.997125204
42,1.003088014
43,1.011084203
44,1.002846816
45,1.000769498
46,0.987369386
47,0.997075066
48,0.993301008
49,0.979055742
50,0.955123583
51,0.97140674
52,0.989791616
53,0.998640328
54,1.011280437
55,1.001260237
56,1.006490176
57,0.996135309
58,1.016779517
59,1.000305652
60,1.007101902
61,1.009286429
62,1.014048989
63,1.019187983
64,1.023760974
65,1.021927154
66,1.014238661
67,1.019809475
68,1.025289457
69,1.041393435
70,1.03574004
71,1.037962493
72,1.033768543
73,1.030095732
74,1.03545822
75,1.026027223
76,1.026123094
77,1.03455124
78,1.032872465
79,1.036746036
80,1.052634785
81,1.04040884
82,1.035625006
83,1.036315226
84,1.041730662
85,1.029467101
86,1.041688562
87,1.029433982
88,1.011357118
89,1.023528667
90,1.029285869
91,1.031570112
92,1.022297441
93,1.000096139
94,1.006789115
95,1.01485296
96,1.003120142
97,0.991374693
98,0.998123038
99,1.011562891
100,1.003164315
101,0.99583536
102,0.986930247
103,0.966989312
104,0.966949832
105,0.969764654
106,0.960155394
107,0.950540625
108,0.954575381
109,0.957146707
110,0.95220228
111,0.955147141
112,0.964717685
113,0.949756118
114,0.941131684
115,0.938078594
116,0.936097769
117,0.950878165
118,0.947134778
119,0.938679134
120,0.943758514
121,0.932857151
122,0.92622676
123,0.92066572
124,0.932083283
125,0.946777214
126,0.926303301
127,0.925462185
128,0.927677506
129,0.922895087
130,0.931858705
131,0.929970094
132,0.918305951
133,0.919368902
134,0.909809008
135,0.920218379
136,0.934233817
137,0.928059636
138,0.914517598
