,price
1,1
2,1.003624289
3,1.002123761
4,1.010398662
5,1.017414329
6,1.016269104
7,1.0137407
8,1.016551676
9,1.010082989
10,1.000726261
11,1.008262895
12,1.018197419
13,1.024907459
14,1.018302586
15,1.021372091
16,1.030560521
17,1.008327329
18,0.995259543
19,1.006046485
20,1.017405979
21,1.01995949
22,1.020579458
23,1.006574881
24,1.014281152
25,1.000722843
26,1.000786559
27,1.001441765
28,1.007840066
29,1.008370592
30,1.012347617
31,1.009152088
32,1.001456485
33,0.993589626
34,0.987660289
35,0.970333216
36,0.973623345
37,0.976962186
38,0.960743314
39,0.970374064
40,0.961164775
41,0.970501286
42,0.978279091
43,0.978284349
44,0.991555726
45,0.996458005
46,1.004046637
47,1.007308095
48,1.001453772
49,1.008094174
50,1.00482674
51,1.019411034
52,1.008799248
53,1.019779546
54,1.009581824
55,1.007146862
56,1.009356129
57,1.012518323
58,1.009761164
59,1.022866306
60,1.019894591
61,1.019874943
62,1.011823224
63,1.007916728
64,1.015702771
65,1.01568949
66,1.020723338
67,1.007026586
68,1.003375011
69,1.017366956
70,1.021155446
71,1.021129646
72,1.01837882
73,1.004094729
74,0.996030218
75,0.992978439
76,1.004782111
77,1.003786811
78,1.012241833
79,1.021631706
80,1.032566081
81,1.046771605
82,1.047500118
83,1.045835672
84,1.050190638
85,1.050734784
86,1.044656985
87,1.031637288
88,1.030788266
89,1.049668805
90,1.042185771
91,1.048036476
92,1.044636968
93,1.050410804
94,1.044441418
95,1.049290658
96,1.056819791
97,1.057346106
98,1.048029998
99,1.052617743
100,1.049938149
101,1.047930285
102,1.046086409
103,1.051062897
104,1.039168421
105,1.043806894
106,1.037200086
107,1.049477152
108,1.04781482
109,1.057994738
110,1.058233907
111,1.06336627
112,1.047180007
113,1.049141607
114,1.042576117
115,1.038333935
116,1.060843919
117,1.063683552
118,1.058130212
119,1.052240918
120,1.045788794
121,1.042306263
122,1.041403606
123,1.037315354
124,1.045909481
125,1.052654328
126,1.069714506
127,1.082282487
128,1.077647036
129,1.086824976
130,1.092664657
131,1.079668644
132,1.057851268
133,1.071999021
134,1.066283615
135,1.073425628
136,1.07368591
137,1.075804806
138,1.086398609
139,1.096345635
140,1.084020046
141,1.081872522
142,1.089202659
143,1.101509525
144,1.095829561
145,1.082451498
146,1.101090893
147,1.102329721
148,1.11785863
149,1.109697864
150,1.123554459
151,1.147786132
152,1.141667422
153,1.156697829
154,1.164828276
155,1.164070424
156,1.158811997
157,1.159826104
158,1.153046166
159,1.161291819
160,1.163317289
161,1.162114821
162,1.156211962
163,1.144639606
164,1.159280238
165,1.154395605
166,1.155938388
167,1.14258663
168,1.141297518
169,1.153953924
170,1.139287911
171,1.120427396
172,1.136010903
173,1.150328759
174,1.158906863
175,1.143908176
176,1.133426109
177,1.133890484
178,1.14336874
179,1.15074276
180,1.169820563
181,1.165472046
182,1.154590218
183,1.147261673
184,1.14849651
185,1.134897492
186,1.126214538
187,1.115533061
188,1.12227291
189,1.135500475
190,1.131050126
191,1.148010819
