,price
1,1
2,1.007119702
3,1.022052594
4,1.017503911
5,1.013732781
6,1.008206292
7,1.015761302
8,1.016273442
9,1.012593654
10,1.018633949
11,1.008608381
12,1.003782223
13,1.003278521
14,1.008108664
15,1.004710793
16,0.996352918
17,0.991064926
18,0.995513373
19,1.011957705
20,1.010067288
21,0.996703362
22,0.988555525
23,0.997559383
24,0.997376659
25,0.996657868
26,0.99834547
27,1.000669119
28,0.995627311
29,0.98879988
30,1.000323587
31,1.005923217
32,1.00261684
33,1.011579128
34,1.000553551
35,1.013119407
36,1.017919531
37,1.012972449
38,0.998980494
39,1.002305056
40,0.990200148
41,0.987033513
42,0.984503982
43,0.97767454
44,1.001006071
45,0.99710318
46,0.998133271
47,1.009966271
48,1.018085672
49,1.013303469
50,1.01468149
51,1.01240923
52,1.015718215
53,1.016251758
54,1.015840989
55,1.045722938
56,1.043101629
57,1.061122917
58,1.052562549
59,1.066050922
60,1.063230291
61,1.058308477
62,1.055181982
63,1.044125087
64,1.061097633
65,1.052076261
66,1.039381816
67,1.051701286
68,1.039389351
69,1.057403893
70,1.060498579
71,1.07184944
72,1.070222684
73,1.072759902
74,1.069944137
75,1.079252723
76,1.077067881
77,1.060485193
78,1.042739845
79,1.045657508
80,1.044744066
81,1.047256162
82,1.009551727
83,1.000525512
84,1.008097651
85,0.987000749
86,0.982379073
87,0.982058805
88,0.973917335
89,0.985144607
90,0.984450381
91,0.998234366
92,0.99363977
93,0.979373404
94,0.985688899
95,0.98839877
96,0.985537553
97,1.001527169
98,0.98752092
99,0.977194096
100,0.982176273
101,0.993744422
102,1.007477099
103,1.007830041
104,1.028950406
105,1.036793503
106,1.032679247
107,1.032899825
108,1.040692535
109,1.028670698
110,1.03702258
111,1.027545647
112,1.02906643
113,1.02044859
114,1.024724457
115,1.026790858
116,1.033620131
117,1.041855158
118,1.016356761
119,1.022323761
120,1.033810943
121,1.042882902
122,1.037658932
123,1.039932982
124,1.024347035
125,1.018279474
126,1.025517209
127,1.039116231
128,1.047477845
129,1.059573988
130,1.068516888
131,1.054746403
132,1.054748211
133,1.039242141
134,1.008365566
135,1.015121668
136,1.002852526
137,0.996186867
138,0.988671702
139,1.004589985
140,1.006830598
141,0.986882392
142,0.98506194
143,0.986455115
144,0.994816872
145,1.023593751
146,1.024734898
147,1.033909363
148,1.022068794
149,1.014929581
150,0.991720106
151,0.987392438
152,0.981770877
153,0.965565511
154,0.956880844
155,0.957313927
156,0.948124434
157,0.952616666
158,0.966923333
159,0.952073061
160,0.94008305
161,0.932431882
162,0.929142342
163,0.918062707
164,0.912720144
165,0.930333601
166,0.939071107
167,0.957743982
168,0.975299019
169,0.968016244
170,0.969065392
171,0.979798751
172,0.967324829
173,0.941922737
174,0.960248521
175,0.951174358
176,0.938729492
177,0.940624783
178,0.939415977
179,0.926631162
180,0.915942722
181,0.919513877
182,0.918686075
183,0.915938263
184,0.922035076
185,0.918598294
186,0.932977769
187,0.925765637
188,0.951268017
189,0.952054734
190,0.951739836
191,0.963254085
192,0.983059839
193,0.978420787
194,0.964360535
195,0.957924199
196,0.969034075
197,0.966703199
198,0.972475597
199,0.953485943
200,0.941878954
201,0.954009852
202,0.965524231
203,0.967128419
204,0.985242422
205,0.978597862
206,0.982521263
207,0.981177669
208,0.988881306
209,0.965861262
210,0.973204674
211,0.969609457
212,0.97398728
213,0.979963738
214,0.975371349
215,0.978282392
216,0.965917066
217,0.963439113
218,0.946013692
219,0.960769211
220,0.961443769
221,0.951524932
222,0.964551617
223,0.979949405
224,0.979675211
